Data;Ora_misura;T_accumolo;Bar_accumolo
27/08/2020;23:09;-4.3;0.85
28/08/2020;01:11;-3.9;1.16
28/08/2020;01:58;-3.6;1.29
28/08/2020;12:02;-0.7;3
28/08/2020;14:00;0.5;3.1
