Data;Ora_raccolta;T_Esterna;T_Uva;T_Mosto;Babo;PH
29/08/2020;19:15;26;27;27;19;3
30/08/2020;19:15;26;27;27;19.4;3.4
31/08/2020;19:15;26;27;27;19.5;3.5
