Data;Ora_misura;T_accumolo;Bar_accumolo
29/08/2020;12:17;3.1;2
29/08/2020;12:18;4.1;2.4
29/08/2020;12:19;11;3.1
29/08/2020;12:20;12;3.2
29/08/2020;15:16;12.8;3.25
